,trial,method_key,method,beta,target,runtime,reward,logprob,edit_distance,normalized_edit_distance
95,15,unguided,Unguided,10,OOD Sine,1.147046685218811,0.1521615490248429,-2616.388671875,241.0,0.94140625
96,16,unguided,Unguided,10,OOD Sine,1.1558824330568314,0.1569916750812332,-2722.279052734375,237.0,0.92578125
97,17,unguided,Unguided,10,OOD Sine,1.1377531960606575,0.1521615490248429,-1208.167236328125,241.0,0.94140625
98,18,unguided,Unguided,10,OOD Sine,1.1796963661909103,0.160714625368044,-3323.88232421875,234.0,0.9140625
99,19,unguided,Unguided,10,OOD Sine,1.1307105645537376,0.1619751257973035,-2023.567626953125,233.0,0.91015625
100,0,best_of_k,Rejection Sampling,10,OOD Sine,11.580673173069954,0.1671167682202057,-2304.52734375,229.0,0.89453125
101,1,best_of_k,Rejection Sampling,10,OOD Sine,11.507488720119,0.3510330150388101,-264.2933349609375,134.0,0.950354609929078
102,2,best_of_k,Rejection Sampling,10,OOD Sine,11.532431587576866,0.1658162552121675,-3555.81494140625,230.0,0.8984375
103,3,best_of_k,Rejection Sampling,10,OOD Sine,11.50481193512678,0.1671167682202057,-1478.3604736328125,229.0,0.89453125
104,4,best_of_k,Rejection Sampling,10,OOD Sine,11.4633776396513,0.3196191973793099,-354.9466552734375,146.0,0.9419354838709676
105,5,best_of_k,Rejection Sampling,10,OOD Sine,11.5336531996727,0.1893681073902534,-802.6423950195312,213.0,0.9383259911894272
106,6,best_of_k,Rejection Sampling,10,OOD Sine,11.564963430166245,0.1710798281713425,-3605.559326171875,226.0,0.8828125
107,7,best_of_k,Rejection Sampling,10,OOD Sine,11.564256377518175,0.1671167682202057,-3031.30517578125,229.0,0.89453125
108,8,best_of_k,Rejection Sampling,10,OOD Sine,11.615432910621166,0.1724216238937528,-3814.8828125,225.0,0.87890625
109,9,best_of_k,Rejection Sampling,10,OOD Sine,11.546196408569813,0.1632455124539584,-1275.721923828125,232.0,0.90625
110,10,best_of_k,Rejection Sampling,10,OOD Sine,11.568627394735811,0.3271987482181544,-335.9030456542969,143.0,0.934640522875817
111,11,best_of_k,Rejection Sampling,10,OOD Sine,11.557523265480995,0.160714625368044,-2189.03173828125,234.0,0.9140625
112,12,best_of_k,Rejection Sampling,10,OOD Sine,11.582412481307983,0.1619751257973035,-2340.275390625,233.0,0.91015625
113,13,best_of_k,Rejection Sampling,10,OOD Sine,11.654814332723618,0.1751368693808747,-2335.53857421875,223.0,0.87109375
114,14,best_of_k,Rejection Sampling,10,OOD Sine,11.502938114106655,0.1697484743860862,-879.2911987304688,227.0,0.934156378600823
115,15,best_of_k,Rejection Sampling,10,OOD Sine,11.489611499011517,0.2979178504832066,-439.3088073730469,155.0,0.950920245398773
116,16,best_of_k,Rejection Sampling,10,OOD Sine,11.571131572127342,0.1684274812781842,-3418.658203125,228.0,0.890625
117,17,best_of_k,Rejection Sampling,10,OOD Sine,11.563486464321612,0.2842751988422877,-467.338134765625,161.0,0.9252873563218392
118,18,best_of_k,Rejection Sampling,10,OOD Sine,11.492096036672592,0.1632455124539584,-1972.5802001953125,232.0,0.90625
119,19,best_of_k,Rejection Sampling,10,OOD Sine,11.53676588833332,0.1645258628766512,-1590.692138671875,231.0,0.90234375
120,0,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.801726303994656,0.1658162620335297,-1928.646484375,230.0,0.8984375
121,1,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.8723903819918633,0.16071462619795718,-1642.81396484375,234.0,0.9140625
122,2,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.780050478875637,0.3171319062873445,-382.4642639160156,147.0,0.9423076923076924
123,3,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.7989610508084297,0.18211352745285428,-852.3121337890625,218.0,0.9437229437229436
124,4,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.75704425573349,0.2528395963635076,-587.9085693359375,176.0,0.9312169312169312
125,5,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.835367299616337,0.15455774883914059,-2503.413818359375,239.0,0.93359375
126,6,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.778189860284329,0.2568212456566318,-566.779052734375,174.0,0.925531914893617
127,7,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.894275300204754,0.15822297361466348,-1566.98974609375,236.0,0.921875
128,8,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.765958122909069,0.15576995985046824,-2264.708251953125,238.0,0.9296875
129,9,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.714160330593586,0.34559074153855623,-296.3524169921875,136.0,0.9379310344827586
130,10,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.748432613909245,0.2528395963635076,-579.5321655273438,176.0,0.9513513513513514
131,11,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.742655798792839,0.20158129883473033,-788.8470458984375,205.0,0.9318181818181818
132,12,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.853296265006066,0.16197513072067965,-1472.8980712890625,233.0,0.91015625
133,13,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.8548283353447914,0.15576995985046824,-1095.5885009765625,238.0,0.9296875
134,14,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.791489787399769,0.19691167709232466,-809.900146484375,208.0,0.9369369369369368
135,15,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.872767359018326,0.15455774883914059,-2004.7681884765625,239.0,0.93359375
136,16,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.8469464033842087,0.15822297361466348,-3145.198486328125,236.0,0.921875
137,17,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.790896207094193,0.24698257481628344,-578.0093383789062,179.0,0.9470899470899472
138,18,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.778976500034332,0.25883552516920294,-548.3853149414062,173.0,0.9402173913043478
139,19,bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.8053953498601913,0.29791784203608046,-434.7372131347656,155.0,0.945121951219512
